Nome,Autor,Data de Leitura,Status na Estante,Detalhe,Formato_ou_Plataforma,Emprestado_de,Origem_ou_Instituição
Desventuras em Série 1 -Mau Começo,Lemony Snicket,42736,Emprestado,Plínio,,Plínio,
Como os animais salvaram minha vida,Luisa Mell,42736,Doado,,,,
Desventuras em Série 5 - Inferno no Colégio Interno,Lemony Snicket,43101,Emprestado,Plínio,,Plínio,
O Pequeno Príncipe,Antoine de Saint-Exupéry,43101,Estante,,,,
Pilates sem Riscos: os Riscos mais Comuns e como Evitá-los,Blandine Calais-Germain,43101,Emprestado,Maris,,Maris,
"Comer, Rezar, Amar - Ediao Comemorativa",Elizabeth Gilbert,43101,Emprestado,Amanda,,Amanda,
Pilates para grávidas: Exercícios simples e seguros para antes e depois do parto,Jan Endacott,43101,Emprestado,Maris,,Maris,
A Obra completa de Joseph Pilates: Sua Saúde,Joseph Pilates,43101,Emprestado,Maris,,Maris,
A Obra completa de Joseph Pilates:  Retorno à Vida Através da Contrologia,Joseph Pilates,43101,Emprestado,Maris,,Maris,
Desventuras em Série 4 - Serraria Baixo-Astral,Lemony Snicket,43101,Emprestado,Plínio,,Plínio,
Percy Jackson e os Olimpianos - O Mar de Monstros,Rick Riordan,43101,Estante,,,,
Percy Jackson e os Olimpianos - A Batalha do Labirinto,Rick Riordan,43101,Estante,,,,
Percy Jackson e os Olimpianos - A Maldição do Titã,Rick Riordan,43101,Estante,,,,
Percy Jackson e os Olimpianos - O Ladrão de Raios,Rick Riordan,43101,Estante,,,,
Percy Jackson e os Olimpianos - O Último Olimpiano,Rick Riordan,43101,Estante,,,,
Método Delavier de musculação,"Frédéric Delavier, Michael Gundill",43466,Vendido,,,,
Contentamento,Dalai Lama XIV,43469,Emprestado,Aluna,,Aluna,
Agua para elefantes,Sara Gruen,43470,Emprestado,Amanda,,Amanda,
Romeu e Julieta,William Shakespeare,43478,Sumiu,,,,
Jogos Vorazes,Suzanne Collins,43491,Biblioteca,Internet,Internet,,
Jogos Vorazes -  Em Chamas,Suzanne Collins,43493,Biblioteca,Internet,Internet,,
Jogos Vorazes -  A Esperança,Suzanne Collins,43498,Biblioteca,Internet,Internet,,
Viagem À Lua De Canoa,Hugo Almeida,43503,Emprestado,Amanda,,Amanda,
O que é o mistério,Anônimo,43555,Emprestado,Amanda,,Amanda,
Avaliacao e Prescricao de Exercicios Fisicos: Normas e Diretrizes,Various,43562,A venda,,,,
Os Heróis do Olimpo - O Herói Perdido,Rick Riordan,43576,Estante,,,,
Encarnação,José de Alencar,43591,Emprestado,Amanda,,Amanda,
Os Heróis do Olimpo - O Filho de Netuno,Rick Riordan,43596,Estante,,,,
Os Heróis do Olimpo - A Marca de Atena,Rick Riordan,43598,Estante,,,,
Memórias de minhas putas tristes,Gabriel García Márquez,43634,Emprestado,Aluna,,Aluna,
Por que Etica E Mais Importante do que Religiao,"Dalai Lama XIV, Franz Alt",43668,Estante,,,,
As Crônicas de Nárnia 5 - A Viagem do Peregrino da Alvorada,C. S. Lewis,43671,Emprestado,Aluna,,Aluna,
Alma de Minh'Alma,J.W. Rochester,43686,Emprestado,Amanda,,Amanda,
Os Heróis do Olimpo - A Casa de Hades,Rick Riordan,43770,Sumiu,,,,
Os Heróis do Olimpo - O Sangue do Olimpo,Rick Riordan,43777,Estante,,,,
Capitães da Areia,Jorge Amado,43818,Emprestado,Amanda,,Amanda,
Frankenstein Ou o Prometeu Moderno,Mary Shelley,43854,Estante,,,,
A Arte da Guerra,Sun Tzu,43860,Sumiu,,,,
Hamlet,William Shakespeare,43884,Estante,,,,
O Hobbit,J.R.R. Tolkien,43927,Estante,,,,
Todos Podem Ter Sucesso,Katsumi Tokuhisa,43927,Doado,,,,
Avanços no Treinamento Funcional,Michael Boyle,43929,Vendido,,,,
Vidas Secas,Graciliano Ramos,44037,Estante,,,,
O Guia do Mochileiro das Galáxias,Douglas Adams,44052,Estante,,,,
Fronteiras do Universo -  A Bússola de Ouro,Philip Pullman,44055,Emprestado,Amanda,,Amanda,
O Maravilhoso Mágico de Oz,Eric Shanower,44177,Estante,,,,
Fernão Capelo Gaivota,Richard Bach,44193,Estante,,,,
O Labirinto de Ossos,Rick Riordan,44196,Doado,,,,
Jane Eyre,Charlotte Brontë,44202,Estante,,,,
O Conto da Aia,Margaret Atwood,44222,Estante,,,,
Alice no País das Maravilhas,Lewis Carroll,44328,Estante,,,,
Fronteiras do Universo -  A Faca Sutil,Philip Pullman,44341,Estante,,,,
O cão alegre,Jo Yong,44344,Estante,,,,
Criança zumbi,Jo Yong,44344,Estante,,,,
O menino que se alimentava de pesadelos,Jo Yong,44344,Estante,,,,
A mão e o tamboril,Jo Yong,44344,Estante,,,,
Em busca da feição real,Jo Yong,44344,Estante,,,,
Alice através do espelho e o que ela encontrou lá,Lewis Carroll,44345,Estante,,,,
Desventuras em Série - O Elevador Ersatz,Lemony Snicket,44356,Emprestado,Plínio,,Plínio,
Prince of Thorns,Mark Lawrence,44367,Estante,,,,
Punição para a Inocência,Agatha Christie,44374,Biblioteca,Kindle,Kindle,,
O Nariz / Diário de um Louco,Nikolai Gogol,44375,Biblioteca,Kindle,Kindle,,
"Os contos de Beedle, o Bardo",J. K. Rowling,44381,Estante,,,,
Eu Sou a Lenda,Richard Matheson,44384,Biblioteca,Kindle,Kindle,,
Um Mistério no Caribe,Agatha Christie,44394,Biblioteca,Kindle,Kindle,,
A importância do Pilates na Gestação,Pablo Morales Barbian,44428,Biblioteca,Kindle,Kindle,,
Meu Pé de Laranja Lima,José Mauro de Vasconcelos,44442,Estante,,,,
A Revolução dos Bichos,George Orwell,44444,Estante,,,,
Guia Completo de Pilates,Alan Herdman,44452,A venda,,,,
A Cartomante,Machado de Assis,44468,Biblioteca,Sesc,,,Sesc
A causa secreta: conto,Machado de Assis,44468,Biblioteca,Sesc,,,Sesc
"O Menino, a Toupeira, a Raposa e o Cavalo",Charlie Mackesy,44473,Emprestado,Bibliotecaria,,Bibliotecaria,
A parte que Falta,Shel Silverstein,44473,Emprestado,Bibliotecaria,,Bibliotecaria,
A parte que falta encontra o grande O,Shel Silverstein,44474,Emprestado,Bibliotecaria,,Bibliotecaria,
Cem: O que aprendemos na vida,"Valerio Vidali, Heike Faller",44474,Emprestado,Bibliotecaria,,Bibliotecaria,
Dom Quixote,Miguel de Cervantes,44475,Biblioteca,Sesc,,,Sesc
Maus: A História de um Sobrevivente,Art Spiegelman,44479,Estante,,,,
Noite Sem Fim,Agatha Christie,44488,Biblioteca,Kindle,Kindle,,
Contos de Amor e Ciúme,Machado de Assis,44511,Biblioteca,Sesc,,,Sesc
O Médico e O Monstro & Outros Experimentos,Robert Louis Stevenson,44515,Estante,,,,
As Coisas Que Você Só Vê Quando Desacelera,Haemin Sunim,44520,Biblioteca,Internet,Internet,,
As Crônicas de Nárnia 6 - A Cadeira de Prata,C. S. Lewis,44521,Emprestado,Amanda,,Amanda,
O Amante,Marguerite Duras,44544,Biblioteca,Kindle,Kindle,,
O Sequestro do Primeiro Ministro,Agatha Christie,44562,Biblioteca,Kindle,Kindle,,
O Estrangeiro,Albert Camus,44562,Biblioteca,Kindle,Kindle,,
A Canção dos Shenlongs: Guerras Épicas do Império de Housai,Diogo Andrade,44562,Biblioteca,Kindle,Kindle,,
O cavaleiro Preso na Armadura,Robert Fisher,44568,Biblioteca,Youtube,Youtube,,
Jesus Rocks - English version,Brão Barbosa,44569,Biblioteca,Kindle,Kindle,,
A Iara: Uma lenda indígena em quadrinhos,Silvino,44575,Biblioteca,Kindle,Kindle,,
Turma da Onça Pintada -  Cadê o Rodolfo?,Anônimo,44590,Estante,,,,
Turma da Onça Pintada -  Romeu foi Clonado?,Anônimo,44590,Estante,,,,
Turma da Onça Pintada - Uma Nova Amizade,Anônimo,44590,Estante,,,,
Turma da Onça Pintada - A grande corrida,Anônimo,44590,Estante,,,,
Turma da Onça Pintada - Festa na Floresta,Anônimo,44590,Estante,,,,
"O Corpo Pilates. Um Guia Para Fortalecimento, Alongamento E Tonificação Sem O Uso De Máquinas",Brooke Siler,44592,A venda,,,,
A Tempestade,Lillo Parra,44592,Biblioteca,Kindle,Kindle,,
Pilates Para Você,Ann Crowther,44605,A venda,,,,
O Mundo de Sofia,Jostein Gaarder,44621,Biblioteca,Youtube,Youtube,,
A Princesinha,Frances Hodgson Burnett,44763,Estante,,,,
LPF 1,Anônimo,44773,Estante,,,,
LPF 2,Anônimo,44864,Estante,,,,
LPF 3,Anônimo,44864,Estante,,,,
Curso Essencial de Pilates,Hayes,44868,A venda,,,,
O Labirinto Do Fauno,"Guillermo del Toro, Cornelia Funke",44939,Estante,,,,
Fronteiras do Universo -  A Luneta Âmbar,Philip Pullman,45033,Estante,,,,
O milagre da manhã,Hal Elrod,45070,Biblioteca,Spotify,Spotify,,
Dom Casmurro,Machado de Assis,45077,Estante,,,,
O que é Depressão,Borchard,45108,A venda,,,,
A Árvore em Mim,"Corinna Luyken, Susana Cardoso Ferreira",45108,Estante,,,,
Quando Mamãe ou Papai Morre,GRIPPO,45108,A venda,,,,
"Because of You, Mom",Kobi Yamada,45108,Estante,,,,
Amanhã,Lucia Hiratsuka,45108,Estante,,,,
O que Acontece Quando Aguem Morre?,Mundy Michaelene,45108,A venda,,,,
"Amiga ursa – Uma história triste, mas com final feliz",Rita Lee,45108,Estante,,,,
O que eu faço com esse buraco?,Rossana Ramos,45108,A venda,,,,
Uma Grande Amizade,Flávio Colombini,45292,Biblioteca,Kindle,Kindle,,
"Bom soninho, Lili!",Tia Cris,45292,Biblioteca,Kindle,Kindle,,
O dia em que adotei o Pipoca,Verônica Matioli,45292,Biblioteca,Kindle,Kindle,,
A mulher em mim,Britney Spears,45322,Biblioteca,Audible,Audible,,
Vamos Aquecer o Sol,José Mauro de Vasconcelos,45334,Emprestado,Lorena,,Lorena,
Doidão,José Mauro de Vasconcelos,45335,Emprestado,Lorena,,Lorena,
Roverando,J. R. R. Tolkien,45528,Estante,,,,
Diário de uma ansiosa ou como parei de me sabotar,Beth Evans,45586,Emprestado,Lorena,,Lorena,
Olhos d'água,Conceição Evaristo,45593,Doado,,,,
Drácula,Bram Stoker,45596,Estante,,,,
As Crônicas de Nárnia 7 - A Ultima Batalha,C. S. Lewis,45613,Emprestado,Amanda,,Amanda,
Três Maneiras de Escrever para Crianças,C. S. Lewis,45613,Emprestado,Amanda,,Amanda,
Harry Potter - Natal em Hogwarts,J. K. Rowling,45617,Estante,,,,
O gato que amava livros,Sōsuke Natsukawa,45623,Biblioteca,Audible,Audible,,
Porque Não Pediram a Evans?,Agatha Christie,45629,Biblioteca,Kindle,Kindle,,
Vai dar tudo certo,Lysa Terkeurst,45638,Biblioteca,Audible,Audible,,
O Retrato de Dorian Gray,Oscar Wilde,45638,Biblioteca,Kindle,Kindle,,
O jumentinho que carregou um rei,"R.C. Sproul, Chuck Groenink",45638,Biblioteca,Kindle,Kindle,,
O Príncipe,Niccolò Machiavelli,45656,Estante,,,,
Lendas Japonesas,Loputyn,45667,Estante,,,,
Auto da Barca do Inferno,Gil Vicente,45668,Estante,,,,
O auto da compadecida,Ariano Suassuna,45704,Biblioteca,Audible,Audible,,
O Navio Negreiro,Castro Alves,45720,Biblioteca,Audible,Audible,,
Battle Royale,Koushun Takami,45722,Estante,,,,
O Morro dos Ventos Uivantes,Emily Brontë,45747,Estante,,,,
O Menino Marrom,Ziraldo,45748,Estante,,,,
Matilda,Roald Dahl,45777,Estante,,,,
O Estranho Mundo de Jack,Sally Morgan,45778,Biblioteca,Audible,Audible,,
O curioso caso de Benjamin Button,F. Scott Fitzgerald,45779,Biblioteca,Audible,Audible,,
Agnes Grey,Anne Brontë,45806,Biblioteca,Kindle,Kindle,,
O Ickabog,J. K. Rowling,45817,Estante,,,,
Onze minutos,Paulo Coelho,45823,Estante,,,,
Malala: A Menina que Queria ir para a Escola,Adriana Carranca,45824,Estante,,,,
O Velho e o Mar,Ernest Hemingway,45838,Estante,,,,
Cem Gramas de Centeio,Agatha Christie,45842,Estante,,,,
A teia de Charlotte,E.B. White,45870,Estante,,,,
Jogos Vorazes - A Cantiga dos Pássaros e das Serpentes,Suzanne Collins,45894,Estante,,,,
Os Quatro Grandes,Agatha Christie,45906,Biblioteca,Audible,Audible,,
Assassinato no Expresso do Oriente,Agatha Christie,45912,Biblioteca,Audible,Audible,,
Ferreiro do Bosque Maior,J. R. R. Tolkien,45945,Estante,,,,
Ali Baba e os quarenta ladrões,Carlos Heitor Cony,45964,Biblioteca,Audible,Audible,,
Aladim e a lâmpada maravilhosa: Adaptação de um conto das Mil e Uma Noites,Carlos Heitor Cony,45964,Biblioteca,Audible,Audible,,
O califa de Bagdá,Carlos Heitor Cony,45967,Biblioteca,Audible,Audible,,
Sr. Boaventura,J. R. R. Tolkien,45969,Emprestado,Miguel,,Miguel,
Sindba o marujo,Carlos Heitor Cony,45970,Biblioteca,Audible,Audible,,
Cadadad e seus irmaos,Monteiro Lobato,45970,Biblioteca,Audible,Audible,,
A princesa de deriabar,Monteiro Lobato,45970,Biblioteca,Audible,Audible,,
O Jardim Secreto,Frances Hodgson Burnett,45974,Estante,,,,
O patinho feio e outras histórias,Hans Christian Andersen,45975,Biblioteca,Audible,Audible,,
O homem que falava javanês,Lima Barreto,45978,Biblioteca,Audible,Audible,,
Mestre Giles d'Aldeia,J. R. R. Tolkien,45981,Estante,,,,
1984,George Orwell,45985,Estante,,,,
O Silmarillion,J. R. R. Tolkien,46007,Estante,,,,
O Mistério dos Sete Relógios,Agatha Christie,46014,Estante,,,,
Jogos Vorazes -  Amanhecer na Colheita,Suzanne Collins,46031,Estante,,,,
A Mulher De Trinta Anos,Honoré de Balzac,46044,Estante,,,,
A montanha do poder - Origem: Japão,Patricia Engel Secco,46047,Estante,,,,
A sombra do vento,Carlos Ruiz Zafón,46050,Estante,,,,
E Não Sobrou Nenhum,Agatha Christie,46052,Estante,,,,
O Sol é para todos,Harper Lee,46053,Estante,,,,
Stuart Little,E.B. White,46054,Estante,,,,
Os Testamentos,Margaret Atwood,46057,Estante,,,,
Os Filhos de Húrin,J. R. R. Tolkien,46062,Estante,,,,
O fantástico senhor Raposo,Roald Dahl,46084,Estante,,,,
As Aventuras de Pinóquio: História de um Boneco,Carlo Collodi,46092,Estante,,,,
A Biblioteca da Meia-Noite,Matt Haig,46097,Estante,,,,
A Volta ao Mundo em 80 Dias,Jules Verne,46098,Biblioteca,Audible,Audible,,
Memorias de Um Sargento de Milicias: Romance de Costumes Brasileiros...,Manuel Antônio de Almeida,46107,Biblioteca,Audible,Audible,,
Admirável Mundo Novo,Aldous Huxley,46118,Estante,,,,
talvez a sua jornada agora seja só sobre você: crônicas,Iandê Albuquerque,46125,A venda,,,,
O Cão dos Baskerville,Arthur Conan Doyle,46129,Estante,,,,
As Nódoas de Sangue / O Último Adeus,Arthur Conan Doyle,46130,Biblioteca,Audible,Audible,,
Adventure of the Abbey Grange,Arthur Conan Doyle,46131,Biblioteca,Audible,Audible,,
A Tragédia do Glória Scott * O Estrela de Prata * O Tratado Naval,Arthur Conan Doyle,46131,Biblioteca,Audible,Audible,,
Ancestrais de Avalon: as origens atlantes da poderosa ilha de Avalon,"Marion Zimmer Bradley, Diana L. Paxson",46132,Estante,,,,
Árvore e Folha,J. R. R. Tolkien,46141,Estante,,,,
Sonho de uma Noite de Verão,William Shakespeare,46148,Biblioteca,Audible,Audible,,
Ponte Para Terabítia,Katherine Paterson,46165,Estante,,,,
Caninos Brancos,Jack London,46177,Estante,Audible,Audible,,
O Garoto do Riquixá,Lao She,46184,Estante,,,,
As aventuras de Pedro Coelho,Beatrix Potter,46209,Estante,,,,
Terra-média -  Beren e Luthien,J. R. R. Tolkien,46213,Estante,,,,
As Minas do Rei Salomão,Henry Rider Haggard,,Biblioteca,Audible,Audible,,
